,time,longitude,latitude
0,18:06:40,106.403,4.57203
1,18:06:45,106.397,4.56325
2,18:06:50,106.391,4.55448
3,18:06:55,106.385,4.5457
4,18:07:00,106.379,4.53692
5,18:07:05,106.373,4.52814
6,18:07:10,106.368,4.51936
7,18:07:15,106.362,4.51058
8,18:07:20,106.356,4.5018
9,18:07:25,106.35,4.49302
10,18:07:30,106.344,4.48424
11,18:07:35,106.338,4.47547
12,18:07:40,106.332,4.46669
13,18:07:45,106.326,4.45791
14,18:07:50,106.321,4.44913
15,18:07:55,106.315,4.44035
16,18:08:00,106.309,4.43157
17,18:08:05,106.303,4.42279
18,18:08:10,106.297,4.41401
19,18:08:15,106.291,4.40523
20,18:08:20,106.285,4.39646
21,18:08:25,106.28,4.38768
22,18:08:30,106.274,4.3789
23,18:08:35,106.268,4.37012
24,18:08:40,106.262,4.36134
25,18:08:45,106.256,4.35256
26,18:08:50,106.25,4.34378
27,18:08:55,106.244,4.335
28,18:09:00,106.238,4.32622
29,18:09:05,106.233,4.31744
30,18:09:10,106.228,4.30803
31,18:09:15,106.224,4.2981
32,18:09:20,106.222,4.28782
33,18:09:25,106.221,4.27733
34,18:09:30,106.221,4.26679
35,18:09:35,106.222,4.25628
36,18:09:40,106.223,4.2458
37,18:09:45,106.224,4.23534
38,18:09:50,106.226,4.22491
39,18:09:55,106.228,4.21449
40,18:10:00,106.229,4.20408
41,18:10:05,106.231,4.19368
42,18:10:10,106.233,4.18331
43,18:10:15,106.235,4.17294
44,18:10:20,106.237,4.16257
45,18:10:25,106.239,4.15221
46,18:10:30,106.241,4.14184
47,18:10:35,106.243,4.13147
48,18:10:40,106.245,4.1211
49,18:10:45,106.247,4.11073
50,18:10:50,106.249,4.10036
51,18:10:55,106.251,4.08999
52,18:11:00,106.252,4.07963
53,18:11:05,106.254,4.06926
54,18:11:10,106.256,4.05889
55,18:11:15,106.258,4.04852
56,18:11:20,106.26,4.03815
57,18:11:25,106.262,4.02778
58,18:11:30,106.264,4.01741
59,18:11:35,106.266,4.00704
60,18:11:40,106.268,3.99668
61,18:11:45,106.27,3.98631
62,18:11:50,106.272,3.97594
63,18:11:55,106.274,3.96557
64,18:12:00,106.276,3.9552
65,18:12:05,106.278,3.94483
66,18:12:10,106.28,3.93446
67,18:12:15,106.282,3.9241
68,18:12:20,106.283,3.91373
69,18:12:25,106.285,3.90336
70,18:12:30,106.287,3.89299
71,18:12:35,106.289,3.88262
72,18:12:40,106.291,3.87225
73,18:12:45,106.293,3.86188
74,18:12:50,106.295,3.85151
75,18:12:55,106.297,3.84115
76,18:13:00,106.299,3.83078
77,18:13:05,106.301,3.82041
78,18:13:10,106.303,3.81004
79,18:13:15,106.305,3.79967
80,18:13:20,106.307,3.7893
81,18:13:25,106.309,3.77893
82,18:13:30,106.311,3.76857
83,18:13:35,106.313,3.7582
84,18:13:40,106.315,3.74783
85,18:13:45,106.316,3.73746
86,18:13:50,106.318,3.72709
87,18:13:55,106.32,3.71672
88,18:14:00,106.322,3.70635
89,18:14:05,106.324,3.69598
90,18:14:10,106.326,3.68562
91,18:14:15,106.328,3.67525
92,18:14:20,106.33,3.66488
93,18:14:25,106.332,3.65451
94,18:14:30,106.334,3.64414
95,18:14:35,106.336,3.63377
96,18:14:40,106.338,3.6234
97,18:14:45,106.34,3.61304
98,18:14:50,106.342,3.60267
99,18:14:55,106.344,3.5923
100,18:15:00,106.346,3.58193
101,18:15:05,106.348,3.57157
102,18:15:10,106.349,3.5612
103,18:15:15,106.351,3.55083
104,18:15:20,106.353,3.54047
105,18:15:25,106.355,3.5301
106,18:15:30,106.357,3.51973
107,18:15:35,106.359,3.50935
108,18:15:40,106.361,3.49898
109,18:15:45,106.363,3.48861
110,18:15:50,106.365,3.47823
111,18:15:55,106.367,3.46786
112,18:16:00,106.369,3.45749
113,18:16:05,106.371,3.44711
114,18:16:10,106.373,3.43674
115,18:16:15,106.374,3.42637
116,18:16:20,106.376,3.41599
117,18:16:25,106.378,3.40562
118,18:16:30,106.38,3.39525
119,18:16:35,106.382,3.38487
120,18:16:40,106.384,3.3745
121,18:16:45,106.386,3.36413
122,18:16:50,106.388,3.35375
123,18:16:55,106.39,3.34339
124,18:17:00,106.392,3.33302
125,18:17:05,106.394,3.32266
126,18:17:10,106.396,3.31229
127,18:17:15,106.398,3.30192
128,18:17:20,106.4,3.29156
129,18:17:25,106.402,3.28119
130,18:17:30,106.403,3.27083
131,18:17:35,106.405,3.26046
132,18:17:40,106.407,3.2501
133,18:17:45,106.409,3.23973
134,18:17:50,106.411,3.22936
135,18:17:55,106.413,3.219
136,18:18:00,106.415,3.20863
137,18:18:05,106.417,3.19827
