,time,longitude,latitude
0,14:35:15,107.306,3.72198
1,14:35:20,107.296,3.71785
2,14:35:25,107.286,3.71373
3,14:35:30,107.277,3.7096
4,14:35:35,107.267,3.70548
5,14:35:40,107.257,3.70136
6,14:35:45,107.248,3.69723
7,14:35:50,107.238,3.69311
8,14:35:55,107.228,3.68898
9,14:36:00,107.218,3.68486
10,14:36:05,107.209,3.68073
11,14:36:10,107.199,3.67661
12,14:36:15,107.189,3.67249
13,14:36:20,107.179,3.66836
14,14:36:25,107.17,3.66424
15,14:36:30,107.16,3.66011
16,14:36:35,107.15,3.65599
17,14:36:40,107.141,3.65187
18,14:36:45,107.131,3.64774
19,14:36:50,107.121,3.64362
20,14:36:55,107.111,3.63949
21,14:37:00,107.102,3.63537
22,14:37:05,107.092,3.63124
23,14:37:10,107.082,3.62712
24,14:37:15,107.072,3.623
25,14:37:20,107.063,3.61887
26,14:37:25,107.053,3.61475
27,14:37:30,107.043,3.61062
28,14:37:35,107.034,3.6065
29,14:37:40,107.024,3.60238
30,14:37:45,107.014,3.59825
31,14:37:50,107.004,3.59413
32,14:37:55,106.995,3.59
33,14:38:00,106.985,3.58588
34,14:38:05,106.975,3.58175
35,14:38:10,106.965,3.57763
36,14:38:15,106.956,3.57351
37,14:38:20,106.946,3.56938
38,14:38:25,106.936,3.56526
39,14:38:30,106.927,3.56113
40,14:38:35,106.917,3.55734
41,14:38:40,106.907,3.55355
42,14:38:45,106.897,3.54975
43,14:38:50,106.887,3.54596
44,14:38:55,106.877,3.54217
45,14:39:00,106.867,3.53837
46,14:39:05,106.858,3.53458
47,14:39:10,106.848,3.53079
48,14:39:15,106.838,3.52699
49,14:39:20,106.828,3.5232
50,14:39:25,106.818,3.51941
51,14:39:30,106.808,3.51561
52,14:39:35,106.798,3.51182
53,14:39:40,106.788,3.50803
54,14:39:45,106.779,3.50423
55,14:39:50,106.769,3.50044
56,14:39:55,106.759,3.49665
57,14:40:00,106.749,3.49285
58,14:40:05,106.739,3.48906
59,14:40:10,106.729,3.48527
60,14:40:15,106.719,3.48147
61,14:40:20,106.71,3.47768
62,14:40:25,106.7,3.47389
63,14:40:30,106.69,3.47009
64,14:40:35,106.68,3.4663
65,14:40:40,106.67,3.46251
66,14:40:45,106.66,3.45871
67,14:40:50,106.65,3.45492
68,14:40:55,106.641,3.45113
69,14:41:00,106.631,3.44733
70,14:41:05,106.621,3.44354
71,14:41:10,106.611,3.43975
72,14:41:15,106.601,3.43595
73,14:41:20,106.591,3.43216
74,14:41:25,106.581,3.42837
75,14:41:30,106.571,3.42457
76,14:41:35,106.562,3.42078
77,14:41:40,106.552,3.41699
78,14:41:45,106.542,3.41319
79,14:41:50,106.532,3.4094
80,14:41:55,106.522,3.40561
81,14:42:00,106.512,3.40181
82,14:42:05,106.502,3.39802
83,14:42:10,106.493,3.39423
84,14:42:15,106.483,3.39043
85,14:42:20,106.473,3.38664
86,14:42:25,106.463,3.38285
87,14:42:30,106.453,3.37905
88,14:42:35,106.443,3.37526
89,14:42:40,106.433,3.37147
90,14:42:45,106.424,3.36767
91,14:42:50,106.414,3.36388
92,14:42:55,106.404,3.36009
93,14:43:00,106.394,3.35629
94,14:43:05,106.384,3.3525
95,14:43:10,106.374,3.34872
96,14:43:15,106.364,3.34494
97,14:43:20,106.355,3.34116
98,14:43:25,106.345,3.33737
99,14:43:30,106.335,3.33359
100,14:43:35,106.325,3.32981
101,14:43:40,106.315,3.32603
102,14:43:45,106.305,3.32225
103,14:43:50,106.295,3.31847
104,14:43:55,106.286,3.31469
105,14:44:00,106.276,3.31091
106,14:44:05,106.266,3.30712
107,14:44:10,106.256,3.30334
108,14:44:15,106.246,3.29956
109,14:44:20,106.236,3.29578
110,14:44:25,106.226,3.292
111,14:44:30,106.216,3.28822
112,14:44:35,106.207,3.28444
113,14:44:40,106.197,3.28065
114,14:44:45,106.187,3.27687
115,14:44:50,106.177,3.27309
116,14:44:55,106.167,3.26931
117,14:45:00,106.157,3.26553
118,14:45:05,106.147,3.26175
119,14:45:10,106.138,3.25797
120,14:45:15,106.128,3.25418
121,14:45:20,106.118,3.2504
122,14:45:25,106.108,3.24663
123,14:45:30,106.098,3.24286
124,14:45:35,106.089,3.23793
125,14:45:40,106.08,3.23191
126,14:45:45,106.072,3.22489
127,14:45:50,106.065,3.21697
