,time,longitude,latitude
0,15:00:00,106.403,4.57203
1,15:00:05,106.397,4.56325
2,15:00:10,106.391,4.55448
3,15:00:15,106.385,4.5457
4,15:00:20,106.379,4.53692
5,15:00:25,106.373,4.52814
6,15:00:30,106.368,4.51936
7,15:00:35,106.362,4.51058
8,15:00:40,106.356,4.5018
9,15:00:45,106.35,4.49302
10,15:00:50,106.344,4.48424
11,15:00:55,106.338,4.47547
12,15:01:00,106.332,4.46669
13,15:01:05,106.326,4.45791
14,15:01:10,106.321,4.44913
15,15:01:15,106.315,4.44035
16,15:01:20,106.309,4.43157
17,15:01:25,106.303,4.42279
18,15:01:30,106.297,4.41401
19,15:01:35,106.291,4.40523
20,15:01:40,106.285,4.39646
21,15:01:45,106.28,4.38768
22,15:01:50,106.274,4.3789
23,15:01:55,106.268,4.37012
24,15:02:00,106.262,4.36134
25,15:02:05,106.256,4.35256
26,15:02:10,106.25,4.34378
27,15:02:15,106.244,4.335
28,15:02:20,106.238,4.32622
29,15:02:25,106.233,4.31744
30,15:02:30,106.227,4.30867
31,15:02:35,106.221,4.29989
32,15:02:40,106.214,4.29188
33,15:02:45,106.206,4.2847
34,15:02:50,106.198,4.27778
35,15:02:55,106.19,4.27095
36,15:03:00,106.182,4.26428
37,15:03:05,106.174,4.25761
38,15:03:10,106.166,4.25094
39,15:03:15,106.157,4.24427
40,15:03:20,106.149,4.2376
41,15:03:25,106.141,4.23092
42,15:03:30,106.133,4.22425
43,15:03:35,106.125,4.21758
44,15:03:40,106.116,4.21091
45,15:03:45,106.108,4.20423
46,15:03:50,106.1,4.19756
47,15:03:55,106.092,4.19089
48,15:04:00,106.084,4.18422
49,15:04:05,106.075,4.17755
50,15:04:10,106.067,4.17087
51,15:04:15,106.059,4.1642
52,15:04:20,106.051,4.15753
53,15:04:25,106.043,4.15086
54,15:04:30,106.035,4.14418
55,15:04:35,106.026,4.13751
56,15:04:40,106.018,4.13084
57,15:04:45,106.01,4.12417
58,15:04:50,106.002,4.1175
59,15:04:55,105.994,4.11082
60,15:05:00,105.985,4.10415
61,15:05:05,105.977,4.09748
62,15:05:10,105.969,4.09081
63,15:05:15,105.961,4.08413
64,15:05:20,105.953,4.07746
65,15:05:25,105.944,4.07079
66,15:05:30,105.936,4.06412
67,15:05:35,105.928,4.05745
68,15:05:40,105.921,4.04984
69,15:05:45,105.914,4.0414
70,15:05:50,105.909,4.03227
71,15:05:55,105.905,4.02257
72,15:06:00,105.901,4.01265
73,15:06:05,105.898,4.00274
74,15:06:10,105.894,3.99283
75,15:06:15,105.891,3.98292
76,15:06:20,105.887,3.97301
77,15:06:25,105.883,3.9631
78,15:06:30,105.88,3.95318
79,15:06:35,105.876,3.94327
80,15:06:40,105.872,3.93336
81,15:06:45,105.869,3.92345
82,15:06:50,105.865,3.91354
83,15:06:55,105.862,3.90362
84,15:07:00,105.858,3.89371
85,15:07:05,105.854,3.8838
86,15:07:10,105.851,3.87389
87,15:07:15,105.847,3.86398
88,15:07:20,105.844,3.85406
89,15:07:25,105.84,3.84415
90,15:07:30,105.836,3.83424
91,15:07:35,105.833,3.82433
92,15:07:40,105.829,3.81442
93,15:07:45,105.825,3.80451
94,15:07:50,105.822,3.79459
95,15:07:55,105.818,3.78468
96,15:08:00,105.815,3.77477
97,15:08:05,105.811,3.76486
